n	mean	stddev	min	max
4	3.19333e-07	2.11713e-08	3.01e-07	3.49e-07
8	3.16667e-07	1.58605e-08	3e-07	3.38e-07
16	3.29e-07	4.45496e-08	2.97e-07	3.92e-07
32	3.05e-07	9.27362e-09	2.97e-07	3.18e-07
64	3.08e-07	6.97615e-09	2.99e-07	3.16e-07
128	3.30333e-07	6.94422e-09	3.24e-07	3.4e-07
256	3.43333e-07	1.12645e-08	3.33e-07	3.59e-07
512	3.93333e-07	6.64998e-09	3.84e-07	3.99e-07
1024	4.83667e-07	4.02768e-09	4.78e-07	4.87e-07
2048	6.7e-07	1.02307e-08	6.58e-07	6.83e-07
4096	1.014e-06	1.07083e-08	1e-06	1.026e-06
8192	1.72967e-06	7.71722e-09	1.719e-06	1.737e-06
