n	mean	stddev	min	max
2	9.89667e-07	1.13329e-07	8.95e-07	1.149e-06
4	9.67333e-07	8.25281e-08	8.96e-07	1.083e-06
8	1.09967e-06	1.0645e-07	9.93e-07	1.245e-06
16	1.63633e-06	3.15817e-07	1.3e-06	2.059e-06
32	2.57567e-06	6.08474e-07	2.047e-06	3.428e-06
64	5.03133e-06	1.37156e-06	3.674e-06	6.91e-06
128	7.623e-06	1.89762e-06	5.609e-06	1.0166e-05
256	1.57587e-05	1.49546e-06	1.3964e-05	1.7625e-05
512	3.29653e-05	3.14265e-06	2.9873e-05	3.7276e-05
1024	3.89493e-05	1.63502e-06	3.7174e-05	4.112e-05
2048	8.5821e-05	2.27062e-06	8.3535e-05	8.8917e-05
4096	0.000185813	2.36991e-06	0.000184025	0.000189162
8192	0.00040286	3.17766e-06	0.000400536	0.000407353
16384	0.000870143	5.69942e-06	0.000866065	0.000878203
32768	0.00185665	1.59253e-06	0.00185522	0.00185887
65536	0.00394914	4.90731e-06	0.00394445	0.00395591
131072	0.00840373	7.28991e-06	0.00839539	0.00841315
262144	0.0178007	1.02659e-05	0.0177891	0.017814
524288	0.0387885	0.000502911	0.0381703	0.0394021
1048576	0.0799252	0.000300864	0.0795476	0.0802839
2097152	0.167928	7.07257e-05	0.167858	0.168025
4194304	0.353218	0.000312364	0.352884	0.353635
8388608	0.749887	0	0.749887	0.749887
