n	mean	stddev	min	max
4	3.21667e-07	3.14784e-08	2.96e-07	3.66e-07
8	3.18e-07	1.67531e-08	2.97e-07	3.38e-07
16	3.12e-07	2.41661e-08	2.92e-07	3.46e-07
32	3.18e-07	5.88784e-09	3.1e-07	3.24e-07
64	3.26667e-07	6.64998e-09	3.21e-07	3.36e-07
128	3.51e-07	1.5748e-08	3.29e-07	3.65e-07
256	3.67333e-07	1.28149e-08	3.55e-07	3.85e-07
512	4.19667e-07	7.71722e-09	4.09e-07	4.27e-07
1024	5.42333e-07	1.60485e-08	5.3e-07	5.65e-07
2048	7.51e-07	1.44453e-08	7.32e-07	7.67e-07
4096	1.173e-06	2.28619e-08	1.153e-06	1.205e-06
8192	2.02767e-06	1.50628e-08	2.012e-06	2.048e-06
