n	mean	stddev	min	max
4	3.35e-07	4.03072e-08	3.06e-07	3.92e-07
8	3.10333e-07	1.32246e-08	3e-07	3.29e-07
16	3.17e-07	1.2083e-08	3.07e-07	3.34e-07
32	3.56333e-07	4.49691e-09	3.51e-07	3.62e-07
64	4.08e-07	7.78888e-09	4.02e-07	4.19e-07
128	5.35667e-07	2.35702e-09	5.34e-07	5.39e-07
256	7.35667e-07	1.83727e-08	7.13e-07	7.58e-07
512	1.21e-06	1.91311e-08	1.183e-06	1.225e-06
1024	2.14733e-06	1.69967e-09	2.145e-06	2.149e-06
2048	3.919e-06	5.93352e-08	3.855e-06	3.998e-06
4096	7.65733e-06	2.87673e-08	7.636e-06	7.698e-06
8192	1.50213e-05	1.40554e-08	1.5009e-05	1.5041e-05
