n	mean	stddev	min	max
2	2.02933e-06	2.67468e-07	1.811e-06	2.406e-06
4	2.82733e-06	3.21155e-07	2.425e-06	3.211e-06
8	3.27467e-06	9.45017e-07	2.476e-06	4.602e-06
16	3.30567e-06	6.72074e-07	2.655e-06	4.231e-06
32	2.43667e-06	5.34089e-07	1.882e-06	3.158e-06
64	3.241e-06	8.38674e-07	2.341e-06	4.36e-06
128	4.65667e-06	1.18679e-06	3.2e-06	6.107e-06
256	9.44633e-06	2.26299e-06	6.912e-06	1.2406e-05
512	2.00183e-05	1.13747e-06	1.8751e-05	2.151e-05
1024	4.6242e-05	2.00935e-06	4.3911e-05	4.8815e-05
2048	9.95267e-05	2.38743e-06	9.7835e-05	0.000102903
4096	0.000214274	3.17825e-06	0.000211845	0.000218764
8192	0.000458448	7.01231e-06	0.000450619	0.000467634
16384	0.000955115	1.01446e-05	0.000947779	0.00096946
32768	0.00206381	1.16969e-05	0.00204927	0.00207791
65536	0.00444449	2.50528e-05	0.00442164	0.00447936
131072	0.00940432	4.72128e-05	0.0093389	0.00944859
262144	0.0197445	3.20349e-05	0.0197161	0.0197892
524288	0.0417698	0.000203859	0.0416205	0.042058
1048576	0.0907099	0.000325484	0.0902781	0.0910639
2097152	0.200302	0.000152615	0.200187	0.200518
4194304	0.420828	0	0.420828	0.420828
