n	mean	stddev	min	max
4	3.13667e-07	1.93964e-08	2.98e-07	3.41e-07
8	3.25333e-07	2.55908e-08	2.99e-07	3.6e-07
16	3.08667e-07	1.26842e-08	2.96e-07	3.26e-07
32	3.07667e-07	4.92161e-09	3.02e-07	3.14e-07
64	3.07667e-07	1.03387e-08	2.98e-07	3.22e-07
128	3.16e-07	8.16497e-10	3.15e-07	3.17e-07
256	3.22e-07	1.06145e-08	3.14e-07	3.37e-07
512	3.35333e-07	5.73488e-09	3.28e-07	3.42e-07
1024	3.71667e-07	1.15854e-08	3.59e-07	3.87e-07
2048	4.22667e-07	8.49837e-09	4.11e-07	4.31e-07
4096	5.31667e-07	1.91891e-08	5.08e-07	5.55e-07
8192	7.39667e-07	7.4087e-09	7.3e-07	7.48e-07
