n	mean	stddev	min	max
2	0.231652	0.000274338	0.231426	0.232038
4	0.231689	0.00017715	0.231519	0.231934
8	0.239041	0.00032066	0.238804	0.239495
16	0.240717	0.000104912	0.240627	0.240864
32	0.238822	0.000154613	0.238691	0.239039
64	0.238858	9.57327e-05	0.238788	0.238994
128	0.238847	5.99431e-05	0.238777	0.238923
256	0.238815	8.81729e-05	0.238738	0.238938
512	0.238965	0.000207087	0.238767	0.239251
1024	0.238836	0.000155274	0.238716	0.239055
2048	0.238779	6.73438e-05	0.238724	0.238874
4096	0.238807	5.16948e-05	0.238741	0.238867
8192	0.238966	6.99525e-05	0.238899	0.239063
16384	0.239148	0.000633035	0.2387	0.240043
32768	0.238818	6.05118e-05	0.238769	0.238903
65536	0.238985	0.000355578	0.238694	0.239486
131072	0.238927	9.27437e-05	0.238797	0.239008
262144	0.238823	0.000103849	0.238726	0.238967
524288	0.239115	0.000147838	0.238925	0.239285
1048576	0.238781	6.7548e-05	0.238721	0.238875
2097152	0.238964	0.000220763	0.238763	0.239271
4194304	0.238697	2.18823e-05	0.238673	0.238726
8388608	0.238788	4.83391e-05	0.238736	0.238852
