n	mean	stddev	min	max
4	3.39667e-07	5.54036e-08	2.99e-07	4.18e-07
8	3.16e-07	9.4163e-09	3.07e-07	3.29e-07
16	3.39667e-07	1.47045e-08	3.22e-07	3.58e-07
32	3.33667e-07	3.72767e-08	3.02e-07	3.86e-07
64	3.27667e-07	9.53357e-09	3.15e-07	3.38e-07
128	3.2e-07	3.74166e-09	3.16e-07	3.25e-07
256	3.31333e-07	1.47045e-08	3.19e-07	3.52e-07
512	3.35e-07	6.53197e-09	3.27e-07	3.43e-07
1024	3.64667e-07	1.35728e-08	3.47e-07	3.8e-07
2048	5.46e-07	1.90962e-07	4.06e-07	8.16e-07
4096	4.83333e-07	2.0548e-09	4.81e-07	4.86e-07
8192	5.78e-07	1.20277e-08	5.65e-07	5.94e-07
