n	mean	stddev	min	max
1024	6.04667e-07	5.5259e-08	5.49e-07	6.8e-07
2048	8.08667e-07	3.68179e-09	8.04e-07	8.13e-07
4096	1.28567e-06	1.02089e-08	1.277e-06	1.3e-06
8192	2.30533e-06	9.28559e-09	2.296e-06	2.318e-06
16384	4.25667e-06	1.8625e-08	4.232e-06	4.277e-06
32768	8.213e-06	1.18603e-08	8.198e-06	8.227e-06
65536	1.64097e-05	2.28376e-08	1.6378e-05	1.6431e-05
131072	3.21387e-05	7.39023e-08	3.2049e-05	3.223e-05
262144	6.35703e-05	8.85789e-08	6.3451e-05	6.3663e-05
524288	0.000141858	6.71561e-06	0.000137014	0.000151355
1048576	0.000288105	7.62457e-06	0.000277332	0.000293889
2097152	0.000693951	2.64177e-05	0.000669668	0.000730681
4194304	0.00145263	2.27281e-05	0.00143253	0.0014844
8388608	0.00370117	0.000646936	0.00323368	0.004616
16777216	0.00738684	0.000842983	0.00666264	0.00856905
33554432	0.0133971	0.000181485	0.0131429	0.0135549
67108864	0.027627	0.000650785	0.0270439	0.0285352
134217728	0.0546927	0.000641216	0.0542328	0.0555995
268435456	0.11011	0	0.11011	0.11011
