n	mean	stddev	min	max
4	2.98667e-07	1.02089e-08	2.9e-07	3.13e-07
8	2.93667e-07	5.73488e-09	2.87e-07	3.01e-07
16	3.12667e-07	2.0548e-09	3.1e-07	3.15e-07
32	3.02333e-07	8.49837e-09	2.94e-07	3.14e-07
64	2.94667e-07	5.79272e-09	2.87e-07	3.01e-07
128	3.05e-07	6.48074e-09	2.99e-07	3.14e-07
256	3.08e-07	5.09902e-09	3.03e-07	3.15e-07
512	3.18e-07	9.79796e-09	3.06e-07	3.3e-07
1024	3.23e-07	6.16441e-09	3.16e-07	3.31e-07
2048	3.58333e-07	1.43836e-08	3.42e-07	3.77e-07
4096	4.05e-07	1.56418e-08	3.83e-07	4.18e-07
8192	1.53533e-06	1.50803e-06	4.62e-07	3.668e-06
