n	mean	stddev	min	max
4	3.11e-07	2.13542e-08	2.93e-07	3.41e-07
8	3.13e-07	1.15181e-08	2.98e-07	3.26e-07
16	2.019e-06	2.41618e-06	3.1e-07	5.436e-06
32	2.97333e-07	2.62467e-09	2.95e-07	3.01e-07
64	3.16667e-07	4.18994e-09	3.11e-07	3.21e-07
128	3.86e-07	9.98031e-08	3.1e-07	5.27e-07
256	3.52e-07	2.16025e-09	3.5e-07	3.55e-07
512	3.90333e-07	6.79869e-09	3.81e-07	3.97e-07
1024	4.88e-07	1.72047e-08	4.68e-07	5.1e-07
2048	6.64333e-07	5.55778e-09	6.59e-07	6.72e-07
4096	1.01933e-06	7.03957e-09	1.01e-06	1.027e-06
8192	1.72267e-06	1.75942e-08	1.706e-06	1.747e-06
