n	mean	stddev	min	max
4	3.07667e-07	2.17613e-08	2.88e-07	3.38e-07
8	3.1e-07	1.58955e-08	2.95e-07	3.32e-07
16	3.27667e-07	3.22215e-08	3.01e-07	3.73e-07
32	3.08e-07	8.64099e-09	3e-07	3.2e-07
64	3.22e-07	6.97615e-09	3.13e-07	3.3e-07
128	3.22667e-07	1.98718e-08	3.01e-07	3.49e-07
256	3.44667e-07	3.85861e-09	3.41e-07	3.5e-07
512	3.59333e-07	6.54896e-09	3.51e-07	3.67e-07
1024	4.14333e-07	8.34e-09	4.07e-07	4.26e-07
2048	5.11667e-07	5.73488e-09	5.05e-07	5.19e-07
4096	6.94e-07	3.55903e-09	6.91e-07	6.99e-07
8192	1.089e-06	2.31517e-08	1.067e-06	1.121e-06
