n	mean	stddev	min	max
1024	1.51167e-06	3.43155e-08	1.474e-06	1.557e-06
2048	2.65233e-06	7.4087e-09	2.644e-06	2.662e-06
4096	4.97767e-06	1.10252e-08	4.964e-06	4.991e-06
8192	9.62933e-06	1.51731e-08	9.614e-06	9.65e-06
16384	1.8948e-05	6.87362e-08	1.8894e-05	1.9045e-05
32768	3.75213e-05	1.83727e-08	3.7505e-05	3.7547e-05
65536	7.5426e-05	1.021e-06	7.466e-05	7.6869e-05
131072	0.000148979	3.5122e-08	0.000148954	0.000149029
262144	0.000297461	4.82494e-08	0.000297413	0.000297527
524288	0.000596549	3.11144e-06	0.000594288	0.000600949
1048576	0.00119171	2.9485e-06	0.0011895	0.00119588
2097152	0.00249994	5.0395e-05	0.00245302	0.00256986
4194304	0.00523198	0.000100065	0.00511803	0.00536163
8388608	0.010676	0.000245784	0.0103335	0.0108986
16777216	0.0212083	0.000360678	0.0208754	0.0217094
33554432	0.0420584	0.000219294	0.0418376	0.0423574
67108864	0.0850467	0.000794336	0.0839447	0.0857867
134217728	0.168497	0	0.168497	0.168497
