n	mean	stddev	min	max
2	7.53333e-07	1.21749e-07	6.56e-07	9.25e-07
4	6.45667e-07	1.22565e-08	6.31e-07	6.61e-07
8	8.29333e-07	7.51192e-08	7.67e-07	9.35e-07
16	1.74067e-06	1.41954e-07	1.542e-06	1.865e-06
32	2.22433e-06	3.71323e-07	1.919e-06	2.747e-06
64	3.87133e-06	4.81082e-07	3.34e-06	4.505e-06
128	7.33333e-06	7.70219e-07	6.439e-06	8.319e-06
256	1.50027e-05	1.24049e-06	1.3712e-05	1.6677e-05
512	3.2589e-05	1.15213e-06	3.1539e-05	3.4193e-05
1024	6.85357e-05	1.7808e-06	6.6361e-05	7.0723e-05
2048	0.000146034	5.68843e-06	0.000139742	0.000153521
4096	0.000302108	3.50347e-06	0.000297154	0.00030467
8192	0.000645913	3.99467e-06	0.000641884	0.000651357
16384	0.0013778	3.20934e-06	0.00137327	0.00138036
32768	0.00292403	8.71719e-06	0.00291223	0.00293304
65536	0.00622421	3.44779e-06	0.00621988	0.00622832
131072	0.0131902	4.30613e-06	0.0131863	0.0131962
262144	0.0277499	2.87097e-05	0.0277207	0.0277889
524288	0.0583498	0.000102259	0.0582665	0.0584938
1048576	0.122187	5.84435e-05	0.122119	0.122262
2097152	0.256473	0.00066738	0.255532	0.257011
4194304	0.544433	0.00104978	0.543375	0.545864
8388608	1.13228	0.00273418	1.1291	1.13578
16777216	2.36795	0	2.36795	2.36795
