n	mean	stddev	min	max
2	1.77133e-06	1.25115e-06	7.31e-07	3.531e-06
4	5.86333e-07	2.25733e-08	5.67e-07	6.18e-07
8	9.65333e-07	8.84396e-08	8.42e-07	1.045e-06
16	1.018e-06	7.02899e-08	9.24e-07	1.093e-06
32	1.45933e-06	1.5883e-07	1.283e-06	1.668e-06
64	2.16333e-06	3.11616e-07	1.939e-06	2.604e-06
128	3.82467e-06	7.74488e-07	2.927e-06	4.817e-06
256	7.84867e-06	1.56551e-06	6.105e-06	9.902e-06
512	1.7005e-05	2.31018e-06	1.4414e-05	2.0024e-05
1024	4.301e-05	1.93629e-06	4.0544e-05	4.5274e-05
2048	9.7469e-05	6.23917e-06	9.2222e-05	0.000106236
4096	0.000199439	5.33e-06	0.000195495	0.000206974
8192	0.000425038	7.36709e-06	0.000417085	0.000434843
16384	0.000905843	9.38456e-06	0.000897801	0.000919007
32768	0.00196008	8.30308e-06	0.00194967	0.00196999
65536	0.00413431	8.83089e-07	0.00413307	0.00413501
131072	0.00854699	5.22557e-06	0.0085428	0.00855436
262144	0.018307	6.67124e-06	0.0183	0.018316
524288	0.0380884	2.17435e-05	0.0380592	0.0381114
1048576	0.0799394	1.88008e-05	0.0799138	0.0799583
2097152	0.170612	0.00105751	0.16948	0.172024
4194304	0.351084	0.000236975	0.350913	0.351419
8388608	0.728487	0.000507738	0.727794	0.728996
16777216	1.53417	0.000342157	1.5337	1.53451
33554432	3.18325	0	3.18325	3.18325
