n	mean	stddev	min	max
2	5.326e-06	5.85679e-06	1.038e-06	1.3607e-05
4	9.36667e-07	1.19444e-07	8.28e-07	1.103e-06
8	1.405e-06	6.46375e-08	1.352e-06	1.496e-06
16	1.554e-06	2.25789e-07	1.28e-06	1.833e-06
32	2.06767e-06	3.57519e-07	1.655e-06	2.527e-06
64	3.469e-06	6.61001e-07	2.832e-06	4.38e-06
128	6.555e-06	7.44396e-07	5.732e-06	7.535e-06
256	1.42663e-05	7.37946e-07	1.3564e-05	1.5286e-05
512	3.01183e-05	1.36316e-06	2.9135e-05	3.2046e-05
1024	6.39763e-05	1.90242e-06	6.2261e-05	6.6629e-05
2048	0.000140499	5.08609e-06	0.000133521	0.000145499
4096	0.000300686	7.20142e-06	0.000295581	0.00031087
8192	0.000653426	3.17089e-06	0.000649718	0.000657464
16384	0.00136922	6.16564e-06	0.00136356	0.0013778
32768	0.00294716	9.63782e-06	0.00293548	0.00295909
65536	0.00634562	1.08139e-05	0.0063377	0.00636091
131072	0.0133359	1.69957e-05	0.0133118	0.0133482
262144	0.0303285	1.86707e-05	0.0303058	0.0303516
524288	0.064207	5.967e-05	0.0641625	0.0642913
1048576	0.134942	0.000197163	0.134713	0.135194
2097152	0.274605	0.00586266	0.266316	0.278904
4194304	0.601312	0.00164296	0.59925	0.603271
8388608	1.22993	0.00270513	1.22616	1.23238
16777216	2.56019	0	2.56019	2.56019
