n	mean	stddev	min	max
2	5.53667e-07	7.6251e-08	4.81e-07	6.59e-07
4	5.37e-07	6.73845e-08	4.63e-07	6.26e-07
8	6.49333e-07	3.89644e-08	6.16e-07	7.04e-07
16	7.93667e-07	4.82517e-08	7.4e-07	8.57e-07
32	1.25367e-06	3.67454e-08	1.203e-06	1.289e-06
64	3.212e-06	1.3054e-07	3.107e-06	3.396e-06
128	1.10677e-05	1.21178e-06	1.0152e-05	1.278e-05
256	3.8851e-05	2.26019e-07	3.8674e-05	3.917e-05
512	0.000152165	1.30404e-06	0.000151186	0.000154008
1024	0.0006083	4.31915e-06	0.000604466	0.000614335
2048	0.0024236	1.63337e-06	0.00242187	0.00242579
4096	0.00967303	2.58046e-06	0.00966952	0.00967564
8192	0.0386394	3.75521e-05	0.0385882	0.0386772
16384	0.154496	2.13675e-05	0.154467	0.154518
32768	0.61786	0.000152604	0.617729	0.618074
65536	2.47338	0	2.47338	2.47338
