n	mean	stddev	min	max
1024	0.000322078	1.39792e-05	0.000310085	0.000341685
2048	0.000328402	6.43084e-06	0.000320976	0.000336662
4096	0.000329827	6.25767e-06	0.000323067	0.000338153
8192	0.000341736	1.04578e-05	0.000333582	0.000356499
16384	0.000350683	4.1941e-06	0.000346241	0.000356308
32768	0.000375267	1.07058e-05	0.000360802	0.000386372
65536	0.000404468	1.81291e-05	0.000388901	0.000429894
131072	0.000476276	1.85777e-05	0.000462896	0.000502547
262144	0.000701842	6.2547e-05	0.000631638	0.000783546
524288	0.000930104	6.20629e-05	0.000880138	0.00101758
1048576	0.00143788	5.86054e-05	0.0013939	0.00152071
2097152	0.00250992	0.000114481	0.00242667	0.0026718
4194304	0.00472896	2.55552e-05	0.0046973	0.00475988
8388608	0.00945635	1.72739e-05	0.00943239	0.00947245
16777216	0.0207989	6.84671e-05	0.020707	0.0208712
33554432	0.035859	2.96059e-05	0.0358267	0.0358982
67108864	0.0711934	0.000140345	0.0709961	0.0713114
134217728	0.142105	0.000421788	0.141726	0.142694
