n	mean	stddev	min	max
1024	1.62413e-05	2.81946e-07	1.5934e-05	1.6615e-05
2048	3.2459e-05	6.21986e-08	3.24e-05	3.2545e-05
4096	6.5688e-05	1.188e-06	6.4833e-05	6.7368e-05
8192	0.000130746	1.4397e-06	0.000129425	0.000132748
16384	0.000260118	1.32982e-06	0.000258735	0.000261913
32768	0.000521324	2.89254e-06	0.000517942	0.000525008
65536	0.00104276	5.02196e-06	0.00103866	0.00104983
131072	0.0020825	4.56961e-06	0.00207613	0.00208659
262144	0.00415991	1.5443e-06	0.00415815	0.00416191
524288	0.00832434	1.36377e-06	0.00832255	0.00832585
1048576	0.0166325	3.26208e-06	0.0166293	0.016637
2097152	0.0332699	1.05316e-06	0.0332685	0.0332711
4194304	0.0667301	3.64221e-05	0.0666795	0.0667639
8388608	0.133379	2.36423e-05	0.133351	0.133409
16777216	0.267316	0.000433063	0.266971	0.267926
33554432	0.536976	0.00316689	0.534603	0.541452
67108864	1.06837	0.000810842	1.06773	1.06952
134217728	2.13676	0	2.13676	2.13676
