n	mean	stddev	min	max
2	1.36633e-06	1.1743e-06	5.25e-07	3.027e-06
4	6.62333e-07	1.59659e-07	5.43e-07	8.88e-07
8	7.10333e-07	5.92696e-08	6.33e-07	7.77e-07
16	8.41e-07	7.88416e-08	7.51e-07	9.43e-07
32	1.11867e-06	2.36334e-07	9.15e-07	1.45e-06
64	2.26033e-06	5.46441e-07	1.776e-06	3.024e-06
128	4.552e-06	8.21096e-07	3.704e-06	5.663e-06
256	1.12027e-05	7.83548e-07	1.0264e-05	1.2182e-05
512	2.6802e-05	1.03059e-06	2.5708e-05	2.8183e-05
1024	6.30473e-05	2.37084e-06	6.0923e-05	6.6356e-05
2048	0.00014047	2.08942e-06	0.000138534	0.000143371
4096	0.000324056	5.24139e-06	0.000317889	0.000330701
8192	0.000688355	2.43502e-06	0.000685168	0.000691078
16384	0.00157773	4.6753e-06	0.00157325	0.00158418
32768	0.00347512	6.76792e-06	0.00346732	0.00348382
65536	0.00799481	1.96852e-05	0.00797135	0.00801952
131072	0.0179498	1.81794e-05	0.017927	0.0179715
262144	0.0400415	2.4475e-05	0.0400135	0.0400731
524288	0.0882275	2.73877e-05	0.0881889	0.0882486
1048576	0.196439	0.000197584	0.196263	0.196715
2097152	0.446176	0.00582339	0.441567	0.454391
4194304	1.02213	0.00115463	1.0212	1.02375
8388608	2.34953	0	2.34953	2.34953
