n	mean	stddev	min	max
2	0.00228821	0.000122576	0.00211491	0.00237843
4	0.00392186	0.000406299	0.00335177	0.00426906
8	0.00611514	0.00077203	0.00502401	0.00669427
16	0.0109041	0.000935413	0.00958128	0.0115741
32	0.0210884	0.000390595	0.0207984	0.0216405
64	0.0407278	0.00362056	0.0356076	0.043318
128	0.0860649	0.00301234	0.0838291	0.0903232
256	0.157024	0.00288534	0.154873	0.161102
512	0.305072	0.0153361	0.294144	0.32676
1024	0.603837	0.0199994	0.5757	0.620393
2048	1.15557	0.0120021	1.13861	1.16466
4096	2.34397	0	2.34397	2.34397
