n	mean	stddev	min	max
2	8.27333e-07	1.68167e-07	7.01e-07	1.065e-06
4	6.19333e-07	1.13235e-08	6.04e-07	6.31e-07
8	8.19667e-07	2.14528e-08	8.04e-07	8.5e-07
16	1.22667e-06	4.3492e-08	1.192e-06	1.288e-06
32	1.57533e-06	2.31957e-07	1.398e-06	1.903e-06
64	2.62967e-06	4.10333e-07	2.256e-06	3.201e-06
128	4.92467e-06	7.27041e-07	4.166e-06	5.905e-06
256	1.0263e-05	1.25245e-06	8.663e-06	1.1721e-05
512	2.3557e-05	1.54445e-06	2.1992e-05	2.5659e-05
1024	5.02997e-05	1.62378e-06	4.8708e-05	5.2529e-05
2048	0.00011074	2.39188e-06	0.000107914	0.000113763
4096	0.000241144	2.76395e-06	0.000237518	0.000244221
8192	0.000514533	1.80967e-06	0.00051292	0.00051706
16384	0.00110054	5.75161e-06	0.00109615	0.00110867
32768	0.00232233	1.06886e-05	0.00230729	0.00233119
65536	0.00496175	3.16406e-06	0.00495856	0.00496606
131072	0.0102649	1.31301e-05	0.0102494	0.0102815
262144	0.022513	1.40084e-05	0.0224934	0.0225255
524288	0.0464207	1.82022e-05	0.0463961	0.0464396
1048576	0.0960487	4.49037e-05	0.096004	0.0961101
2097152	0.205496	0.000387108	0.205222	0.206044
4194304	0.4259	0.00015279	0.425694	0.426061
8388608	0.886035	0.00119731	0.884852	0.887675
16777216	1.85714	0.00116645	1.85569	1.85855
33554432	3.81371	0	3.81371	3.81371
