n	mean	stddev	min	max
2	0.0152051	1.53422e-05	0.0151867	0.0152243
4	0.0198847	1.79871e-05	0.0198619	0.0199058
8	0.0262115	1.30125e-05	0.0261966	0.0262283
16	0.0332378	1.16533e-05	0.0332225	0.0332508
32	0.0386251	4.05806e-05	0.0385695	0.0386651
64	0.0475689	7.20393e-05	0.0474738	0.0476481
128	0.0563637	1.61824e-05	0.0563408	0.0563756
256	0.0637528	5.22835e-05	0.0636985	0.0638234
512	0.0724348	1.09229e-05	0.0724244	0.0724499
1024	0.081055	8.2048e-05	0.0809788	0.0811689
2048	0.0904835	3.91338e-05	0.090443	0.0905364
4096	0.100554	5.49649e-05	0.10049	0.100625
8192	0.111603	0.000121127	0.111432	0.111693
16384	0.123691	7.72088e-05	0.123609	0.123795
32768	0.144837	0.000359722	0.144423	0.1453
65536	0.154722	0.000452578	0.154315	0.155353
131072	0.166657	0.00102149	0.165243	0.167622
262144	0.181638	0.000482235	0.18127	0.18232
524288	0.179099	1.78219e-05	0.179076	0.179119
1048576	0.191917	4.40436e-05	0.191857	0.191962
2097152	0.190449	8.28954e-05	0.190332	0.190513
4194304	0.184325	4.73667e-05	0.184258	0.184363
