n	mean	stddev	min	max
2	1.0222e-05	1.16277e-05	2e-06	2.6666e-05
4	2.44467e-06	6.28854e-07	2e-06	3.334e-06
8	2.22233e-06	1.57214e-07	2e-06	2.334e-06
16	2.55533e-06	1.57214e-07	2.333e-06	2.667e-06
32	4.44433e-06	6.28382e-07	4e-06	5.333e-06
64	6.889e-06	4.15324e-07	6.334e-06	7.333e-06
128	1.34443e-05	8.31806e-07	1.2333e-05	1.4334e-05
256	2.53333e-05	1.78498e-06	2.3333e-05	2.7667e-05
512	5.47777e-05	4.4749e-06	5.0667e-05	6.1e-05
1024	0.000121333	2.49399e-06	0.000118667	0.000124666
2048	0.000273666	1.22837e-05	0.000259333	0.000289333
4096	0.000637889	9.04222e-05	0.000569666	0.000765667
8192	0.00123989	1.47984e-05	0.00122733	0.00126067
16384	0.00265611	1.59379e-05	0.00263833	0.002677
32768	0.00577322	1.90372e-05	0.00574667	0.00579033
65536	0.0123157	6.94891e-05	0.012223	0.0123903
131072	0.0276194	0.000720344	0.027063	0.0286367
262144	0.0646966	0.00402294	0.0592243	0.0687807
524288	0.147395	0	0.147395	0.147395
