n	mean	stddev	min	max
1024	1.60003e-05	2.72302e-07	1.5667e-05	1.6334e-05
2048	2.9889e-05	1.56978e-07	2.9667e-05	3e-05
4096	5.9444e-05	1.56978e-07	5.9333e-05	5.9666e-05
8192	0.000126222	1.03049e-06	0.000125334	0.000127667
16384	0.000277666	4.71405e-07	0.000277333	0.000278333
32768	0.000567222	4.15324e-07	0.000566667	0.000567666
65536	0.00113422	1.02984e-06	0.00113333	0.00113567
131072	0.00346056	0.00151359	0.00235367	0.00560067
262144	0.00563011	0.000626232	0.00503267	0.006495
524288	0.0102222	1.44383e-05	0.010205	0.0102403
1048576	0.024163	0.00131856	0.0230557	0.026016
2097152	0.0442593	0.00093766	0.043396	0.0455627
4194304	0.0850821	0.00106124	0.083585	0.085922
8388608	0.191024	0	0.191024	0.191024
