n	mean	stddev	min	max
2	2.44467e-06	8.74946e-07	1.667e-06	3.667e-06
4	2e-06	0	2e-06	2e-06
8	2.778e-06	1.56978e-07	2.667e-06	3e-06
16	4.22267e-06	1.57449e-07	4e-06	4.334e-06
32	9e-06	2.71893e-07	8.667e-06	9.333e-06
64	1.86663e-05	5.44195e-07	1.8e-05	1.9333e-05
128	4.36667e-05	1.24722e-06	4.2e-05	4.5e-05
256	9.85557e-05	2.85882e-06	9.5e-05	0.000102
512	0.000246444	4.90137e-06	0.000242333	0.000253333
1024	0.000691444	1.80786e-05	0.000666	0.000706333
2048	0.00202344	1.28069e-05	0.00200567	0.00203533
4096	0.00662222	8.01872e-05	0.00654833	0.00673367
8192	0.027437	0.00191124	0.025629	0.030081
16384	0.108491	0	0.108491	0.108491
