n	mean	stddev	min	max
2	2.37777e-05	2.89137e-05	3e-06	6.4666e-05
4	3.111e-06	1.56978e-07	3e-06	3.333e-06
8	3.222e-06	1.56978e-07	3e-06	3.333e-06
16	6.55533e-06	2.21707e-06	4.666e-06	9.667e-06
32	7.778e-06	6.85061e-07	7e-06	8.667e-06
64	1.43333e-05	1.08839e-06	1.3e-05	1.5666e-05
128	2.53337e-05	2.32554e-06	2.2667e-05	2.8334e-05
256	5.7667e-05	6.60504e-06	5.2667e-05	6.7e-05
512	0.000103555	3.87155e-06	0.000100333	0.000109
1024	0.000231778	4.16662e-06	0.000228666	0.000237667
2048	0.000453111	4.47474e-06	0.000449	0.000459333
4096	0.00104311	8.28361e-06	0.00103567	0.00105467
8192	0.002265	8.0321e-06	0.00225867	0.00227633
16384	0.00546778	1.44078e-05	0.005454	0.00548767
32768	0.0128282	0.000794641	0.0117747	0.0136937
65536	0.0283382	0.00245876	0.026514	0.031814
131072	0.0673962	0.00780398	0.056939	0.0756807
262144	0.156007	0	0.156007	0.156007
