n	mean	stddev	min	max
2	6.99967e-06	7.30804e-06	1.666e-06	1.7333e-05
4	1.66633e-06	4.71405e-10	1.666e-06	1.667e-06
8	2e-06	0	2e-06	2e-06
16	2.55567e-06	1.57449e-07	2.333e-06	2.667e-06
32	4.333e-06	2.71893e-07	4e-06	4.666e-06
64	8.99967e-06	2.72302e-07	8.666e-06	9.333e-06
128	3.05557e-05	4.15769e-07	3e-05	3.1e-05
256	0.000106667	2.72302e-07	0.000106333	0.000107
512	0.000411444	5.66776e-07	0.000410666	0.000412
1024	0.00163944	1.36251e-05	0.00162867	0.00165867
2048	0.00642067	3.56495e-05	0.006387	0.00647
4096	0.0255061	0.00013464	0.0253263	0.0256503
8192	0.106704	0	0.106704	0.106704
