n	mean	stddev	min	max
2	2.778e-06	1.10026e-06	2e-06	4.334e-06
4	2e-06	0	2e-06	2e-06
8	3.22233e-06	5.66449e-07	2.667e-06	4e-06
16	4.44467e-06	1.57214e-07	4.333e-06	4.667e-06
32	9.111e-06	4.15324e-07	8.667e-06	9.666e-06
64	2.41113e-05	8.88756e-06	1.7334e-05	3.6667e-05
128	3.83333e-05	2.84127e-06	3.6e-05	4.2333e-05
256	8.6333e-05	1.37138e-05	7.5333e-05	0.000105666
512	0.000169666	1.31007e-05	0.000156	0.000187333
1024	0.000326667	4.22542e-06	0.000321333	0.000331667
2048	0.000695223	2.04508e-05	0.000678334	0.000724
4096	0.00144856	1.29286e-05	0.00143267	0.00146433
8192	0.00308689	2.73523e-05	0.00305333	0.00312033
16384	0.00663444	5.01971e-05	0.00658333	0.00670267
32768	0.0139487	9.78667e-05	0.0138757	0.014087
65536	0.0362054	0.00102523	0.0352873	0.0376363
131072	0.0682388	0.00669781	0.0630703	0.0776973
262144	0.166304	0	0.166304	0.166304
