n	mean	stddev	min	max
2	2.889e-06	1.49888e-06	1.667e-06	5e-06
4	1.88867e-06	3.14191e-07	1.666e-06	2.333e-06
8	2e-06	0	2e-06	2e-06
16	3e-06	2.71893e-07	2.667e-06	3.333e-06
32	5.55533e-06	3.14427e-07	5.333e-06	6e-06
64	1.45557e-05	5.66906e-07	1.4e-05	1.5334e-05
128	4.6778e-05	8.3145e-07	4.5667e-05	4.7667e-05
256	0.000169111	5.66906e-07	0.000168333	0.000169667
512	0.000652444	7.85831e-07	0.000651333	0.000653
1024	0.00260322	7.46538e-06	0.00259667	0.00261367
2048	0.010315	1.13137e-05	0.010299	0.010323
4096	0.0461462	0.00580003	0.0414037	0.0543133
8192	0.164879	0	0.164879	0.164879
