n	mean	stddev	min	max
1	0.234193	0.00492922	0.228919	0.240778
2	0.135315	0.00899025	0.128743	0.148027
3	0.0971722	0.0137222	0.0843357	0.116195
4	0.0869317	0.0208281	0.063837	0.114312
5	0.0993523	0.0152427	0.078435	0.114323
6	0.0903966	0.00452654	0.08595	0.096608
7	0.0860246	0.00875997	0.0793833	0.098402
8	0.0895614	0.00683376	0.0806367	0.097235
9	0.0755167	0.00468346	0.070645	0.0818387
10	0.0740299	0.00391937	0.069043	0.0786187
11	0.0780969	0.0031098	0.074928	0.0823223
12	0.080738	0.00347956	0.0759413	0.0840877
13	0.072153	0.00371817	0.0670473	0.075795
14	0.0722811	0.00258357	0.0696267	0.0757827
15	0.0820371	0.0119248	0.072524	0.098853
16	0.0730076	0.00458468	0.0683577	0.0792457
17	0.069253	0.00330269	0.0661183	0.073819
18	0.0715724	0.00281607	0.0683213	0.07519
19	0.0726442	0.00405693	0.067143	0.0768057
20	0.068899	0.0032869	0.0659503	0.0734853
21	0.0689843	0.00280095	0.0656283	0.0724847
22	0.0706927	0.00468833	0.0664327	0.0772227
23	0.0700279	0.00561813	0.063875	0.0774577
24	0.0696027	0.00190361	0.0670103	0.0715277
25	0.0726724	0.00245893	0.069202	0.0745987
26	0.0733743	0.00121002	0.0720647	0.074983
27	0.0709383	0.00108037	0.0698487	0.0724107
28	0.0738968	0.00192108	0.0712063	0.075569
29	0.0706426	0.00590436	0.0651023	0.078823
30	0.071853	0.00535778	0.068042	0.07943
31	0.0733877	0.00365837	0.069826	0.0784183
32	0.0731511	0.0097532	0.064188	0.086712
