n	mean	stddev	min	max
1	0.470675	0.00725167	0.46042	0.475856
2	0.326892	0.00558405	0.319461	0.332922
3	0.293104	0.00738691	0.28658	0.303432
4	0.312186	0.00776457	0.301461	0.319587
5	0.31105	0.00655237	0.304628	0.320046
6	0.306999	0.00519473	0.300496	0.31321
7	0.304383	0.00156286	0.303083	0.306581
8	0.301378	0.0109693	0.286311	0.312108
9	0.306372	0.00578698	0.29918	0.31335
10	0.298635	0.0066022	0.293813	0.30797
11	0.300773	0.00283883	0.2973	0.304254
12	0.302554	0.00833842	0.296284	0.314339
13	0.300935	0.00208977	0.298546	0.303636
14	0.299667	0.00354268	0.295925	0.304423
15	0.29811	0.00732229	0.288391	0.306064
16	0.299858	0.00387691	0.297087	0.305341
17	0.30107	0.00893033	0.28918	0.310702
18	0.2968	0.00657895	0.288555	0.304656
19	0.298732	0.00204279	0.296166	0.301164
20	0.300235	0.00119267	0.29902	0.301855
21	0.301443	0.00425571	0.297418	0.307331
22	0.303755	0.00752876	0.297258	0.314308
23	0.296947	0.00423729	0.291257	0.30142
24	0.29911	0.00466404	0.292514	0.302461
25	0.299129	0.00343082	0.294387	0.302387
26	0.303001	0.00470283	0.29771	0.309136
27	0.29736	0.00254273	0.293815	0.299655
28	0.299949	0.00660661	0.292894	0.308781
29	0.301511	0.00678739	0.292965	0.309569
30	0.30076	0.00216611	0.298684	0.303749
31	0.298854	0.00577489	0.291688	0.30583
32	0.305516	0.00514129	0.298901	0.311437
