n	mean	stddev	min	max
2	3.86667e-07	3.08257e-08	3.54e-07	4.28e-07
4	3.88333e-07	4.75137e-08	3.36e-07	4.51e-07
8	4.33e-07	4.08248e-08	3.83e-07	4.83e-07
16	6.14e-07	3.879e-08	5.63e-07	6.57e-07
32	1.16733e-06	6.63342e-08	1.116e-06	1.261e-06
64	2.983e-06	2.64197e-08	2.946e-06	3.006e-06
128	1.02647e-05	4.08765e-08	1.0209e-05	1.0306e-05
256	4.2238e-05	2.33679e-06	3.942e-05	4.5142e-05
512	0.000157581	2.37639e-06	0.000155884	0.000160942
1024	0.000633982	1.29311e-05	0.000624707	0.000652269
2048	0.00251815	5.01703e-06	0.00251299	0.00252494
4096	0.0101798	4.88128e-05	0.0101377	0.0102483
8192	0.0406814	0.000173662	0.0404494	0.0408673
16384	0.164028	0	0.164028	0.164028
