n	mean	stddev	min	max
2	3.73667e-07	5.11881e-08	3.35e-07	4.46e-07
4	3.65333e-07	7.96715e-08	3.08e-07	4.78e-07
8	4.31667e-07	5.70925e-08	3.79e-07	5.11e-07
16	6.59333e-07	1.01431e-07	5.69e-07	8.01e-07
32	9.87e-07	2.18107e-07	7.51e-07	1.277e-06
64	1.67567e-06	4.48522e-07	1.244e-06	2.294e-06
128	3.84667e-06	8.20104e-07	2.961e-06	4.938e-06
256	1.034e-05	1.20841e-06	8.95e-06	1.1896e-05
512	2.2768e-05	9.26208e-07	2.1727e-05	2.3977e-05
1024	5.92817e-05	6.76106e-06	5.4229e-05	6.8838e-05
2048	0.000129545	5.64944e-06	0.00012532	0.00013753
4096	0.000283587	1.64658e-06	0.00028176	0.000285751
8192	0.000642541	1.48335e-05	0.000631469	0.000663508
16384	0.00146068	1.87959e-05	0.00144148	0.0014862
32768	0.00320381	1.34409e-05	0.00319358	0.0032228
65536	0.00738374	9.054e-05	0.00730736	0.00751093
131072	0.0166896	0.000180574	0.0164813	0.0169217
262144	0.0382372	0.000265401	0.0379364	0.038582
524288	0.0845687	0.000482493	0.0841338	0.0852415
1048576	0.181649	0	0.181649	0.181649
