n	mean	stddev	min	max
2	1.895e-06	1.74045e-06	5.72e-07	4.354e-06
4	7.24333e-07	1.55787e-07	5.4e-07	9.21e-07
8	9.45333e-07	1.22769e-07	8.37e-07	1.117e-06
16	1.779e-06	3.77074e-07	1.498e-06	2.312e-06
32	2.011e-06	2.14947e-07	1.737e-06	2.262e-06
64	3.62667e-06	6.67633e-07	2.928e-06	4.526e-06
128	5.761e-06	1.10227e-06	4.549e-06	7.216e-06
256	1.20063e-05	1.74881e-06	1.0047e-05	1.4293e-05
512	2.39407e-05	2.2631e-06	2.168e-05	2.7033e-05
1024	5.6702e-05	1.09502e-06	5.5891e-05	5.825e-05
2048	0.000118829	1.83625e-06	0.000117	0.00012134
4096	0.000275473	9.26441e-06	0.000266042	0.000288065
8192	0.000559536	1.07524e-05	0.000544462	0.000568807
16384	0.00122425	6.21228e-06	0.00121627	0.00123142
32768	0.00256215	1.84575e-05	0.00254278	0.00258699
65536	0.00568209	0.000117762	0.0055791	0.00584693
131072	0.0116342	8.10378e-05	0.0115727	0.0117487
262144	0.0262561	0.000243124	0.0259524	0.0265476
524288	0.0533332	0.000393826	0.053044	0.0538901
1048576	0.118363	0	0.118363	0.118363
