n	mean	stddev	min	max
2	0.00325979	0.000132788	0.00307566	0.00338381
4	0.0035966	9.81816e-05	0.00352265	0.00373535
8	0.00495133	0.000126355	0.00482739	0.00512478
16	0.00635945	4.65037e-05	0.00632483	0.00642518
32	0.00683564	6.69695e-05	0.00674455	0.00690365
64	0.00823318	0.000134061	0.00807653	0.008404
128	0.00937847	0.000118076	0.00923199	0.00952115
256	0.0104679	6.63442e-05	0.0104196	0.0105617
512	0.0122486	0.000175332	0.0120196	0.0124455
1024	0.0135301	0.000280157	0.0131629	0.0138426
2048	0.0148827	0.00022876	0.0145663	0.0150993
4096	0.0182024	0.000418159	0.0178588	0.018791
8192	0.0208448	0.000422674	0.0203538	0.0213856
16384	0.0247714	0.000270305	0.0244006	0.0250371
32768	0.0303611	0.000351518	0.0298642	0.0306223
65536	0.0383815	0.000242332	0.0381722	0.0387211
131072	0.0487144	0.000140902	0.0485557	0.0488981
262144	0.0639573	0.000138182	0.0638042	0.064139
524288	0.081789	0.000137321	0.0816019	0.0819275
1048576	0.0954624	0.000538022	0.0948984	0.0961867
2097152	0.099834	0.000144747	0.0996336	0.0999702
4194304	0.100419	0.000777915	0.0998233	0.101517
