n	mean	stddev	min	max
1024	5.05533e-06	4.30728e-06	1.927e-06	1.1146e-05
2048	1.0025e-05	4.55414e-06	3.586e-06	1.3366e-05
4096	6.87433e-06	1.81537e-08	6.861e-06	6.9e-06
8192	1.355e-05	2.27303e-08	1.352e-05	1.3575e-05
16384	4.0099e-05	1.21119e-05	2.69e-05	5.6153e-05
32768	5.53147e-05	1.14407e-08	5.5301e-05	5.5329e-05
65536	0.000106897	2.85774e-08	0.000106872	0.000106937
131072	0.000308084	0.000108189	0.000220597	0.000460533
262144	0.00051087	9.19602e-05	0.000442298	0.000640856
524288	0.000876502	3.49596e-05	0.000851613	0.000925942
1048576	0.00180636	0.00015898	0.00167816	0.00203042
2097152	0.0036154	8.04489e-05	0.00354477	0.00372796
4194304	0.00695386	7.12975e-05	0.00686403	0.00703843
8388608	0.0140094	0.000156806	0.0137964	0.0141694
16777216	0.0276647	0.000207596	0.0274026	0.0279103
33554432	0.0558848	0.000849594	0.0551857	0.0570806
67108864	0.109322	0	0.109322	0.109322
