n	mean	stddev	min	max
2	0.0083309	0.000475109	0.00788437	0.00898896
4	0.00819193	0.000468386	0.00780946	0.00885153
8	0.00822045	0.000438525	0.00775726	0.00880918
16	0.00829753	0.000484924	0.00791685	0.00898187
32	0.00829565	0.000402402	0.00789307	0.00884528
64	0.00825416	0.000477595	0.00785036	0.00892494
128	0.00832872	0.00030787	0.00803386	0.00875358
256	0.00833674	0.000557647	0.00788209	0.00912212
512	0.00817648	0.00044421	0.00782341	0.00880301
1024	0.00818369	0.000578788	0.00777011	0.0090022
2048	0.00816976	0.000490452	0.00777413	0.00886096
4096	0.00815857	0.000404195	0.00780751	0.00872478
8192	0.00832107	0.000403138	0.00784213	0.00882839
16384	0.00812679	0.000426701	0.00780728	0.00872988
32768	0.00830693	0.000414327	0.00791639	0.0088805
65536	0.00811451	0.000417389	0.00779061	0.00870382
131072	0.00812094	0.000439762	0.00777886	0.00874178
262144	0.00827626	0.000472025	0.00782597	0.00892818
524288	0.00815224	0.000431601	0.00784125	0.00876258
1048576	0.00814127	0.000416964	0.00784226	0.00873093
2097152	0.00877643	4.17146e-05	0.0087257	0.00882788
4194304	0.00878762	6.45521e-05	0.0087127	0.00887026
