n	mean	stddev	min	max
2	5.53667e-07	1.50991e-07	4.39e-07	7.67e-07
4	5.88333e-07	1.58001e-07	3.96e-07	7.83e-07
8	7.05e-07	1.40928e-07	5.19e-07	8.6e-07
16	7.15e-07	7.18656e-08	6.33e-07	8.08e-07
32	1.15133e-06	1.96222e-07	9.63e-07	1.422e-06
64	1.66533e-06	3.48578e-07	1.345e-06	2.15e-06
128	3.45567e-06	6.27576e-07	2.757e-06	4.279e-06
256	6.88133e-06	1.28099e-06	5.38e-06	8.51e-06
512	1.51807e-05	1.81874e-06	1.307e-05	1.7509e-05
1024	4.97847e-05	1.80884e-05	3.6e-05	7.5339e-05
2048	8.02497e-05	2.34876e-06	7.7044e-05	8.2606e-05
4096	0.000182558	1.38544e-05	0.00017165	0.000202107
8192	0.000380473	1.16644e-05	0.000371843	0.000396963
16384	0.000812184	2.39549e-05	0.000786027	0.000843907
32768	0.00167782	7.43618e-07	0.00167717	0.00167886
65536	0.00360827	9.51178e-06	0.00359536	0.003618
131072	0.00773856	4.63668e-05	0.00768491	0.00779804
262144	0.0161218	0.000123062	0.0160267	0.0162955
524288	0.0347171	0.000124788	0.0346125	0.0348925
1048576	0.0720292	0.000114321	0.0719077	0.0721823
2097152	0.153678	0	0.153678	0.153678
