n	mean	stddev	min	max
1024	3.45667e-06	4.27517e-06	3.56e-07	9.502e-06
2048	5.64667e-07	3.57802e-08	5.35e-07	6.15e-07
4096	9.08667e-07	2.07579e-08	8.93e-07	9.38e-07
8192	1.652e-06	7.21988e-08	1.559e-06	1.735e-06
16384	2.891e-06	6.53197e-09	2.883e-06	2.899e-06
32768	9.12767e-06	4.506e-06	5.909e-06	1.55e-05
65536	1.41497e-05	3.30265e-06	1.1719e-05	1.8819e-05
131072	3.25127e-05	7.91434e-06	2.2803e-05	4.2189e-05
262144	6.44497e-05	2.76831e-06	6.2431e-05	6.8364e-05
524288	0.000104681	3.19318e-07	0.000104295	0.000105077
1048576	0.000226405	9.16893e-06	0.000218476	0.000239255
2097152	0.000593056	2.22283e-05	0.000562693	0.000615288
4194304	0.00132909	3.6408e-05	0.00127908	0.00136471
8388608	0.00287888	0.000358895	0.00251094	0.00336563
16777216	0.00527083	0.000185106	0.00509643	0.0055271
33554432	0.0101039	8.61637e-05	0.00998324	0.0101791
67108864	0.0204801	0.000222676	0.0201707	0.0206857
134217728	0.0411516	0.000810031	0.0401268	0.0421073
268435456	0.0812073	0.000421755	0.0806146	0.081561
536870912	0.163896	0	0.163896	0.163896
