n	mean	stddev	min	max
2	5.06333e-07	1.66846e-07	3.56e-07	7.39e-07
4	5.37667e-07	2.25327e-07	3.66e-07	8.56e-07
8	5.80667e-07	6.78249e-08	4.91e-07	6.55e-07
16	7.21e-07	1.85046e-07	5.74e-07	9.82e-07
32	1.11933e-06	2.52145e-07	9.1e-07	1.474e-06
64	1.96833e-06	4.01282e-07	1.558e-06	2.513e-06
128	4.25333e-06	7.4468e-07	3.36e-06	5.183e-06
256	1.02167e-05	8.59773e-07	9.165e-06	1.1271e-05
512	2.46587e-05	4.77288e-07	2.3984e-05	2.5014e-05
1024	5.6583e-05	4.8613e-07	5.6094e-05	5.7246e-05
2048	0.000134541	7.38305e-06	0.000129166	0.000144981
4096	0.000399252	0.000101087	0.000324273	0.000542152
8192	0.000645409	1.15829e-05	0.000636998	0.000661788
16384	0.00142279	2.06158e-05	0.00139397	0.00144101
32768	0.00315127	0.000109981	0.00304202	0.00330177
65536	0.00689374	0.000148259	0.00671624	0.00707914
131072	0.0146533	7.70548e-05	0.014557	0.0147456
262144	0.0316838	0.00051672	0.0312743	0.0324127
524288	0.0665502	2.94691e-05	0.0665102	0.0665805
1048576	0.146802	0	0.146802	0.146802
