n	mean	stddev	min	max
2	0.00291932	0.00412761	4.25e-07	0.00875664
4	3.97333e-07	4.1708e-08	3.48e-07	4.5e-07
8	5.40667e-07	5.0162e-08	4.93e-07	6.1e-07
16	1.65033e-06	4.18485e-07	1.173e-06	2.192e-06
32	2.76867e-06	7.79067e-07	2.092e-06	3.86e-06
64	4.31033e-06	1.00792e-06	3.373e-06	5.709e-06
128	8.41e-06	1.61847e-06	6.611e-06	1.0535e-05
256	1.62163e-05	2.32474e-06	1.3795e-05	1.9353e-05
512	3.5001e-05	3.04591e-06	3.1777e-05	3.9087e-05
1024	7.34977e-05	3.5283e-06	7.0233e-05	7.8398e-05
2048	0.000156101	5.05718e-06	0.000149852	0.000162238
4096	0.000319325	1.14178e-06	0.000317827	0.000320596
8192	0.000686967	2.64767e-05	0.000660901	0.00072328
16384	0.00152816	0.000125984	0.00143317	0.00170619
32768	0.00305644	0.000122774	0.00294307	0.00322701
65536	0.00639598	4.49605e-05	0.00634039	0.00645051
131072	0.0134725	0.000204259	0.0132996	0.0137594
262144	0.0286884	0.00022794	0.0284083	0.0289666
524288	0.0601887	0.000282682	0.0597891	0.0603999
1048576	0.128965	0	0.128965	0.128965
