2	6.402e-07	6.75348e-07	2.47e-07	1.989e-06
4	3.7e-07	9.64199e-08	3.13e-07	5.62e-07
8	3.438e-07	7.53775e-08	2.52e-07	4.82e-07
16	4.002e-07	5.88741e-08	3.56e-07	5.08e-07
32	7.254e-07	2.38777e-07	5.14e-07	1.178e-06
64	1.3102e-06	4.12168e-07	9.78e-07	2.085e-06
128	2.476e-06	8.86806e-07	1.443e-06	3.965e-06
256	6.1076e-06	1.63136e-06	4.102e-06	8.698e-06
512	1.44828e-05	3.0473e-06	1.0859e-05	1.9566e-05
1024	3.48236e-05	4.35198e-06	2.8233e-05	4.0553e-05
2048	8.30408e-05	3.17863e-06	7.9017e-05	8.8063e-05
4096	0.000184549	4.67448e-06	0.000179628	0.000190685
8192	0.000397578	4.30908e-06	0.000393186	0.000404468
16384	0.000853054	6.45348e-06	0.00084419	0.000864033
32768	0.00181774	4.41387e-06	0.00181129	0.00182383
65536	0.00387342	3.83679e-06	0.00386885	0.0038786
131072	0.00827811	6.90631e-06	0.00827009	0.00828766
262144	0.0175474	5.4146e-06	0.017541	0.0175549
524288	0.0371213	5.1912e-06	0.0371114	0.0371264
1048576	0.0772722	1.77095e-05	0.0772514	0.0772987
2097152	0.161818	3.10532e-05	0.161786	0.161877
4194304	0.334991	3.75547e-05	0.334943	0.33504
8388608	0.70212	9.97613e-05	0.701935	0.702235
16777216	1.45836	0.00725554	1.45111	1.46562
