n	mean	stddev	min	max
1024	6.364e-07	5.02697e-08	5.82e-07	7.18e-07
2048	9.622e-07	2.50472e-08	9.34e-07	1e-06
4096	1.7016e-06	1.96632e-08	1.684e-06	1.729e-06
8192	3.2576e-06	2.55703e-08	3.213e-06	3.292e-06
16384	6.2194e-06	2.12847e-08	6.195e-06	6.253e-06
32768	1.22212e-05	2.55139e-08	1.2197e-05	1.2264e-05
65536	2.4234e-05	4.71805e-08	2.4184e-05	2.4297e-05
131072	4.81226e-05	3.54886e-08	4.8087e-05	4.8186e-05
262144	9.74234e-05	3.25191e-06	9.5753e-05	0.000103927
524288	0.000191806	7.8939e-08	0.000191692	0.00019194
1048576	0.000390448	1.58474e-05	0.000382454	0.000422143
2097152	0.00076639	3.49553e-06	0.000764007	0.000773155
4194304	0.00153352	4.97206e-06	0.00152739	0.0015382
8388608	0.003247	1.90001e-06	0.00324525	0.00325034
16777216	0.00656086	6.34953e-06	0.00655386	0.00657249
33554432	0.0131019	2.2013e-06	0.0130992	0.0131056
67108864	0.0262067	1.22895e-05	0.0261933	0.0262277
134217728	0.0524356	1.59556e-05	0.0524176	0.0524622
268435456	0.104869	1.40338e-05	0.104848	0.104885
536870912	0.209742	7.24729e-05	0.209655	0.209874
1073741824	0.419459	0.000126083	0.419321	0.419658
