n	mean	stddev	min	max
2	5.756e-07	6.95366e-07	1.77e-07	1.963e-06
4	3.042e-07	3.44407e-08	2.57e-07	3.61e-07
8	3.034e-07	3.33623e-08	2.7e-07	3.48e-07
16	3.732e-07	5.60764e-08	3.25e-07	4.65e-07
32	6.748e-07	1.2934e-07	5.53e-07	9.03e-07
64	1.6508e-06	1.3908e-07	1.448e-06	1.84e-06
128	4.8036e-06	1.70075e-07	4.572e-06	5.037e-06
256	1.69494e-05	1.39206e-07	1.6775e-05	1.7139e-05
512	6.33524e-05	2.16866e-07	6.2962e-05	6.3574e-05
1024	0.000235962	1.51404e-06	0.000233968	0.000237633
2048	0.000901256	3.45733e-06	0.000895527	0.000906345
4096	0.00355896	1.05113e-05	0.00355013	0.00357902
8192	0.0141498	3.33448e-05	0.0141045	0.014201
16384	0.0564314	2.41116e-05	0.0564045	0.0564599
32768	0.22786	3.14091e-05	0.227821	0.227899
65536	0.898741	9.68957e-05	0.898559	0.898839
131072	3.60199	0	3.60199	3.60199
