n	mean	stddev	min	max
2	3.856e-07	2.02721e-07	2.8e-07	7.91e-07
4	3.218e-07	3.75255e-08	2.56e-07	3.73e-07
8	3.736e-07	2.96149e-08	3.46e-07	4.31e-07
16	5.372e-07	1.03772e-07	4.39e-07	7.36e-07
32	9.984e-07	2.36293e-07	7.83e-07	1.445e-06
64	1.7062e-06	5.00802e-07	1.223e-06	2.611e-06
128	3.4116e-06	9.38718e-07	2.47e-06	5.069e-06
256	7.9458e-06	1.68255e-06	6.105e-06	1.078e-05
512	1.90948e-05	2.0808e-06	1.6734e-05	2.2556e-05
1024	4.50574e-05	2.1367e-06	4.2929e-05	4.8722e-05
2048	9.69706e-05	3.03417e-06	9.4037e-05	0.000102185
4096	0.00021102	5.34958e-06	0.000205845	0.000218884
8192	0.000460639	3.73417e-06	0.0004567	0.000467542
16384	0.000980379	4.69301e-06	0.000975505	0.000989188
32768	0.00210022	8.98492e-06	0.00208995	0.00211338
65536	0.00440597	5.31592e-06	0.00439773	0.00441381
131072	0.00936125	9.25518e-06	0.00935213	0.00937775
262144	0.0200486	1.26596e-05	0.020036	0.0200713
524288	0.0414309	0.00031105	0.04126	0.0420527
1048576	0.0876476	1.62939e-05	0.0876208	0.0876657
2097152	0.180826	3.67965e-05	0.180762	0.180868
4194304	0.377455	8.27654e-05	0.377371	0.377561
8388608	0.789296	6.11524e-05	0.789238	0.789401
16777216	1.64621	0	1.64621	1.64621
