n	mean	stddev	min	max
1024	7.41e-07	4.70532e-08	6.9e-07	8.22e-07
2048	1.2094e-06	3.14299e-08	1.174e-06	1.252e-06
4096	2.2498e-06	4.19781e-08	2.188e-06	2.319e-06
8192	4.3086e-06	5.83561e-08	4.24e-06	4.397e-06
16384	8.1886e-06	1.60947e-08	8.175e-06	8.216e-06
32768	1.61656e-05	3.39211e-08	1.6134e-05	1.6227e-05
65536	3.21396e-05	3.16013e-08	3.211e-05	3.2194e-05
131072	6.39758e-05	3.56505e-08	6.3943e-05	6.4045e-05
262144	0.000127549	2.7222e-08	0.000127525	0.000127602
524288	0.000257033	3.48964e-06	0.000255259	0.000264012
1048576	0.000511571	3.73282e-06	0.000509574	0.000519033
2097152	0.00102029	3.47025e-06	0.00101826	0.00102719
4194304	0.00203959	4.22458e-06	0.00203584	0.00204492
8388608	0.0042114	3.48136e-06	0.00420683	0.004216
16777216	0.00844283	2.05055e-06	0.00844053	0.00844641
33554432	0.016883	8.70414e-06	0.0168737	0.0168972
67108864	0.0337646	2.25092e-05	0.0337414	0.0338049
134217728	0.0675111	7.39896e-06	0.067502	0.0675218
268435456	0.135087	0.000174496	0.13499	0.135435
536870912	0.270057	0.000111707	0.26994	0.270267
1073741824	0.540058	0.000149826	0.539948	0.540355
