n	mean	stddev	min	max
1024	1.3518e-06	7.38417e-07	9.32e-07	2.827e-06
2048	1.713e-06	1.0759e-07	1.64e-06	1.927e-06
4096	3.0446e-06	5.76493e-08	2.966e-06	3.107e-06
8192	5.7928e-06	2.95527e-08	5.751e-06	5.829e-06
16384	1.12794e-05	3.32482e-08	1.1244e-05	1.1342e-05
32768	2.24246e-05	8.62615e-08	2.2324e-05	2.2553e-05
65536	4.4588e-05	7.82509e-08	4.4506e-05	4.4713e-05
131072	8.83778e-05	7.57559e-08	8.8292e-05	8.8509e-05
262144	0.000177621	3.03654e-06	0.000176006	0.000183693
524288	0.000353116	1.14822e-07	0.000352974	0.000353298
1048576	0.000703557	9.61816e-07	0.000702903	0.000705454
2097152	0.0014055	3.38211e-06	0.00140281	0.00141167
4194304	0.00280937	3.46887e-06	0.00280415	0.00281259
8388608	0.00576236	1.38319e-05	0.00574469	0.00577688
16777216	0.0115445	2.21446e-05	0.0115245	0.011585
33554432	0.0230646	7.67339e-06	0.0230535	0.0230753
67108864	0.0461017	6.75247e-06	0.0460949	0.0461139
134217728	0.0922049	1.25614e-05	0.0921873	0.092222
268435456	0.184414	5.03683e-05	0.184377	0.184511
536870912	0.368771	3.62948e-05	0.368729	0.368819
1073741824	0.737727	0.000223602	0.73752	0.738089
