n	mean	stddev	min	max
1	0.0736921	5.97964e-05	0.0736176	0.0737574
2	0.0382193	0.00189615	0.0368073	0.0419303
3	0.0259987	0.00142794	0.0247321	0.0286733
4	0.0239617	0.00263674	0.0194401	0.0261007
5	0.0208426	0.00198277	0.0180515	0.0230789
6	0.0215515	0.00234407	0.0180672	0.0246206
7	0.0228896	0.00354722	0.0167698	0.0278525
8	0.0147898	0.00275435	0.0113295	0.0180498
9	0.0147224	0.00422832	0.0101337	0.022308
10	0.0144353	0.000793162	0.0129782	0.0152915
11	0.0159724	0.00148757	0.0134799	0.0180074
12	0.0171222	0.00463048	0.0123816	0.0255773
13	0.0167772	0.00236037	0.0136283	0.0208381
14	0.016192	0.00497916	0.0117187	0.024933
15	0.0158145	0.00227025	0.0136378	0.0190805
16	0.0166527	0.00188491	0.0142083	0.0197297
17	0.0105164	0.000618744	0.00980568	0.0116537
18	0.0147543	0.00190855	0.0128731	0.0181326
19	0.0125754	0.000917395	0.0113501	0.013918
20	0.0141717	0.000908449	0.012946	0.0152019
21	0.0137315	0.00200568	0.0105585	0.0163862
22	0.0134725	0.00150118	0.0114462	0.0159207
23	0.0130148	0.00206111	0.00946158	0.0151322
24	0.012569	0.00234265	0.00885081	0.0161843
25	0.0126885	0.00128367	0.0112263	0.0149877
26	0.0116357	0.00131564	0.0102188	0.0132658
27	0.0108324	0.00126101	0.00935396	0.0126665
28	0.0116153	0.00116904	0.010168	0.0131448
29	0.0105609	0.0012045	0.00875638	0.0120731
30	0.0118667	0.00174147	0.0100462	0.0149418
31	0.0118581	0.00203825	0.00835139	0.0137441
32	0.00982072	0.00190352	0.00806473	0.0132962
