2	8.044e-07	1.06886e-06	2.6e-07	2.942e-06
4	2.896e-07	6.07572e-08	2.1e-07	3.78e-07
8	3.122e-07	6.49258e-08	2.21e-07	4.23e-07
16	9.768e-07	4.77749e-07	6.63e-07	1.918e-06
32	1.8782e-06	7.04538e-07	1.341e-06	3.204e-06
64	3.4866e-06	1.06314e-06	2.506e-06	5.436e-06
128	7.1188e-06	1.47329e-06	5.587e-06	9.608e-06
256	1.52964e-05	2.80968e-06	1.2411e-05	2.0203e-05
512	3.39458e-05	3.45774e-06	3.0067e-05	3.9595e-05
1024	7.53768e-05	3.02867e-06	7.249e-05	8.0752e-05
2048	0.000162716	4.72647e-06	0.000156131	0.000168376
4096	0.000349318	5.41029e-06	0.000342153	0.00035571
8192	0.000736809	1.70125e-05	0.000723922	0.000770035
16384	0.00157005	7.93785e-06	0.00156173	0.00157996
32768	0.00327198	9.81506e-06	0.0032629	0.00328872
65536	0.00700323	7.78784e-06	0.00699627	0.0070173
131072	0.0146517	2.29322e-05	0.0146083	0.0146752
262144	0.0314379	1.61516e-05	0.0314116	0.0314596
524288	0.065627	4.38725e-05	0.0655746	0.0656879
1048576	0.142455	5.72232e-05	0.142354	0.14253
2097152	0.2892	4.78722e-05	0.289131	0.28926
4194304	0.612075	0.000207261	0.611701	0.612322
8388608	1.2908	0.0064219	1.28438	1.29722
