2	1.955e-06	3.04228e-06	3.5e-07	8.038e-06
4	4.362e-07	5.76104e-08	3.89e-07	5.49e-07
8	4.658e-07	7.56608e-08	3.59e-07	5.88e-07
16	1.0754e-06	5.80986e-07	7.38e-07	2.233e-06
32	1.2136e-06	3.08272e-07	9.81e-07	1.809e-06
64	2.54e-06	6.38529e-07	1.879e-06	3.684e-06
128	4.8304e-06	1.20962e-06	3.539e-06	6.93e-06
256	1.14164e-05	2.14186e-06	8.861e-06	1.4996e-05
512	2.40626e-05	3.12293e-06	1.9972e-05	2.8859e-05
1024	5.99956e-05	2.33191e-06	5.806e-05	6.4346e-05
2048	0.000124581	3.01917e-06	0.000120835	0.000129522
4096	0.000283001	3.67166e-06	0.000278961	0.000288836
8192	0.000597999	3.97824e-06	0.000594608	0.000605235
16384	0.00133135	4.40689e-06	0.00132702	0.00133837
32768	0.00278262	1.73519e-05	0.0027674	0.00281584
65536	0.00606276	6.66723e-06	0.00605342	0.00607148
131072	0.0126828	7.30552e-06	0.0126762	0.012693
262144	0.0275402	1.29707e-05	0.0275276	0.0275564
524288	0.0571742	6.89944e-06	0.0571683	0.0571877
1048576	0.125929	2.41938e-05	0.125902	0.125973
2097152	0.254402	1.98038e-05	0.254377	0.254433
4194304	0.542954	8.20807e-05	0.542846	0.543047
8388608	1.14334	0.00568828	1.13766	1.14903
