n	mean	stddev	min	max
2	1.0194e-06	1.4311e-06	2.77e-07	3.881e-06
4	3.03e-07	5.08213e-08	2.35e-07	3.92e-07
8	3.806e-07	7.7981e-08	2.73e-07	4.98e-07
16	6.616e-07	2.43559e-07	4.94e-07	1.144e-06
32	1.083e-06	3.89653e-07	7.83e-07	1.844e-06
64	2.8474e-06	1.63158e-06	1.679e-06	6.043e-06
128	5.4974e-06	1.41004e-06	3.936e-06	7.812e-06
256	1.40734e-05	2.03622e-06	1.1846e-05	1.7515e-05
512	3.49982e-05	2.38755e-06	3.2292e-05	3.8947e-05
1024	9.30622e-05	4.64453e-06	8.8495e-05	0.00010069
2048	0.000238896	4.17473e-06	0.000234942	0.000246507
4096	0.000683176	5.78631e-06	0.000677616	0.00069127
8192	0.00213684	6.21925e-06	0.0021291	0.00214698
16384	0.00838289	1.6833e-05	0.0083555	0.00840576
32768	0.0364692	4.12506e-05	0.0364063	0.0365239
65536	0.146639	7.3259e-05	0.146554	0.146755
131072	0.611087	0.000146116	0.610903	0.611348
262144	2.50619	0	2.50619	2.50619
