n	mean	stddev	min	max
2	4.398e-07	1.82703e-07	3.15e-07	8.03e-07
4	4.266e-07	9.41543e-08	3.27e-07	6.05e-07
8	5.022e-07	1.40883e-07	4.06e-07	7.75e-07
16	7.666e-07	2.12189e-07	5.58e-07	1.159e-06
32	1.1988e-06	3.83241e-07	8.91e-07	1.906e-06
64	2.2104e-06	5.74501e-07	1.634e-06	3.205e-06
128	4.5898e-06	1.1388e-06	3.404e-06	6.534e-06
256	1.14952e-05	1.16573e-06	1.017e-05	1.3414e-05
512	2.64994e-05	1.74549e-06	2.481e-05	2.9619e-05
1024	5.94458e-05	2.79834e-06	5.7219e-05	6.4678e-05
2048	0.000131936	4.97051e-06	0.000127984	0.000141473
4096	0.000287248	5.09089e-06	0.000284038	0.000297402
8192	0.000625395	8.73525e-06	0.000618343	0.000640946
16384	0.00133739	1.04227e-05	0.00132712	0.00135556
32768	0.00286017	1.90033e-05	0.00284076	0.00289656
65536	0.00613946	4.66758e-05	0.00610996	0.00623236
131072	0.0130116	7.71548e-05	0.0129671	0.0131657
262144	0.0275555	0.000150062	0.027466	0.0278552
524288	0.0582823	0.000286206	0.0581106	0.0588528
1048576	0.122402	0.000472144	0.122149	0.123346
2097152	0.268142	0.000862819	0.266464	0.268893
4194304	0.57467	0.000821766	0.573133	0.575434
8388608	1.18924	0	1.18924	1.18924
