n	mean	stddev	min	max
2	1.40667e-06	1.15636e-06	5.88e-07	3.042e-06
4	5.31333e-07	4.63129e-08	4.9e-07	5.96e-07
8	8.12e-07	1.00502e-07	7.06e-07	9.47e-07
16	1.147e-06	1.18954e-07	1.022e-06	1.307e-06
32	1.73567e-06	2.62958e-07	1.482e-06	2.098e-06
64	3.36633e-06	5.55849e-07	2.796e-06	4.12e-06
128	6.713e-06	1.02184e-06	5.588e-06	8.061e-06
256	1.5999e-05	1.10753e-06	1.4697e-05	1.7404e-05
512	3.82813e-05	1.38554e-06	3.6819e-05	4.0142e-05
1024	9.48827e-05	1.29776e-06	9.3048e-05	9.5842e-05
2048	0.000250614	5.38849e-06	0.00024527	0.000257991
4096	0.000702777	4.25516e-06	0.000698008	0.00070834
8192	0.00222128	1.97368e-05	0.00220557	0.00224911
16384	0.00862089	1.27714e-05	0.00860376	0.00863441
32768	0.0375721	2.54205e-05	0.0375363	0.0375926
65536	0.153719	0.000122554	0.153591	0.153884
131072	0.650102	0.00238141	0.648151	0.653455
262144	2.67743	0	2.67743	2.67743
