n	mean	stddev	min	max
2	2.80067e-06	3.16041e-06	5.33e-07	7.27e-06
4	4.82333e-07	2.76446e-08	4.58e-07	5.21e-07
8	9.08333e-07	1.97943e-07	6.58e-07	1.142e-06
16	7.06333e-07	4.01442e-08	6.75e-07	7.63e-07
32	9.27333e-07	5.09204e-08	8.8e-07	9.98e-07
64	2e-06	1.47339e-07	1.801e-06	2.153e-06
128	6.012e-06	1.01481e-06	5.202e-06	7.443e-06
256	1.82563e-05	1.30768e-07	1.8076e-05	1.8382e-05
512	6.3375e-05	1.36326e-06	6.2211e-05	6.5288e-05
1024	0.000239705	8.83051e-07	0.000238492	0.000240568
2048	0.000937268	1.80383e-06	0.00093501	0.000939425
4096	0.0037234	1.0157e-05	0.00370912	0.00373188
8192	0.0148222	1.2707e-05	0.0148078	0.0148387
16384	0.0579858	1.28837e-05	0.0579729	0.0580034
32768	0.233235	0.000127929	0.233128	0.233415
65536	0.931094	0.00156229	0.929905	0.933302
131072	3.7463	0	3.7463	3.7463
