n	mean	stddev	min	max
1024	1.739e-06	5.87281e-07	1.197e-06	2.555e-06
2048	1.75233e-06	5.42115e-08	1.714e-06	1.829e-06
4096	3.19433e-06	2.56298e-08	3.159e-06	3.219e-06
8192	6.039e-06	5.79885e-08	5.957e-06	6.081e-06
16384	1.1819e-05	6.02163e-08	1.1742e-05	1.1889e-05
32768	2.3804e-05	7.31897e-07	2.3231e-05	2.4837e-05
65536	4.656e-05	3.5898e-08	4.6524e-05	4.6609e-05
131072	9.3099e-05	1.11514e-06	9.23e-05	9.4676e-05
262144	0.000184729	9.45169e-07	0.000184058	0.000186066
524288	0.000381192	5.02818e-06	0.000376823	0.000388235
1048576	0.000753937	3.48203e-06	0.000750356	0.000758655
2097152	0.00149732	5.6055e-06	0.00149219	0.00150512
4194304	0.00318608	5.69707e-06	0.00317813	0.00319121
8388608	0.00656246	2.22009e-05	0.006533	0.00658659
16777216	0.0131942	8.2573e-06	0.0131842	0.0132044
33554432	0.0262364	2.61259e-06	0.0262346	0.0262401
67108864	0.0523184	2.76303e-05	0.052281	0.0523469
134217728	0.106824	0.00113218	0.105475	0.108245
268435456	0.210012	0.000366675	0.209656	0.210516
536870912	0.423081	0.00155447	0.421311	0.425095
1073741824	0.867386	0.00336688	0.864908	0.872146
