n	mean	stddev	min	max
1024	7.23e-07	2.53736e-07	5.06e-07	1.079e-06
2048	7.58e-07	6.39427e-08	6.87e-07	8.42e-07
4096	1.20733e-06	6.77069e-08	1.117e-06	1.28e-06
8192	2.05167e-06	3.20139e-08	2.015e-06	2.093e-06
16384	3.88e-06	6.20322e-08	3.794e-06	3.938e-06
32768	7.68333e-06	9.60012e-08	7.611e-06	7.819e-06
65536	1.62277e-05	7.99389e-08	1.6119e-05	1.6309e-05
131072	3.27113e-05	1.57544e-07	3.2565e-05	3.293e-05
262144	6.44203e-05	1.75684e-07	6.4185e-05	6.4607e-05
524288	0.00013398	2.34801e-06	0.000130749	0.000136259
1048576	0.000286501	4.51853e-06	0.000282736	0.000292855
2097152	0.000550662	5.35846e-07	0.000550148	0.000551401
4194304	0.00138124	1.09977e-05	0.00136881	0.00139555
8388608	0.00312978	1.3199e-05	0.00311304	0.0031453
16777216	0.00631103	5.31473e-06	0.00630589	0.00631835
33554432	0.0125111	1.40236e-05	0.012493	0.0125271
67108864	0.0249543	1.95403e-05	0.0249267	0.0249685
134217728	0.0506972	0.000488187	0.0501776	0.0513507
268435456	0.100404	8.03743e-05	0.100305	0.100502
536870912	0.205189	0.000343471	0.204715	0.205516
1073741824	0.447152	0.00179284	0.445778	0.449684
