n	mean	stddev	min	max
1024	8.86333e-07	6.81876e-08	7.98e-07	9.64e-07
2048	1.329e-06	1.45144e-08	1.315e-06	1.349e-06
4096	2.34767e-06	5.94549e-08	2.286e-06	2.428e-06
8192	4.428e-06	1.34412e-08	4.418e-06	4.447e-06
16384	8.723e-06	2.57613e-07	8.5e-06	9.084e-06
32768	1.6785e-05	5.29591e-08	1.6738e-05	1.6859e-05
65536	3.3377e-05	4.17373e-08	3.3324e-05	3.3426e-05
131072	6.70237e-05	1.06947e-06	6.6199e-05	6.8534e-05
262144	0.000133373	1.29083e-06	0.000132032	0.000135116
524288	0.000267354	4.94698e-07	0.000266895	0.000268041
1048576	0.000540803	7.51248e-07	0.000539876	0.000541716
2097152	0.00107822	4.21434e-06	0.00107447	0.00108411
4194304	0.00232849	6.50645e-06	0.00231929	0.00233332
8388608	0.00484129	1.65391e-06	0.00483973	0.00484358
16777216	0.00975113	5.43581e-05	0.00969205	0.00982326
33554432	0.0193448	1.33335e-05	0.0193347	0.0193637
67108864	0.0387758	4.47052e-05	0.0387333	0.0388376
134217728	0.0780661	0.000287255	0.0776622	0.0783055
268435456	0.155075	0.000345771	0.154706	0.155537
536870912	0.312348	0.000467336	0.311989	0.313008
1073741824	0.643066	0.000733452	0.64203	0.64362
