n	mean	stddev	min	max
2	6.44333e-07	6.65449e-08	5.63e-07	7.26e-07
4	6.16e-07	5.47905e-08	5.7e-07	6.93e-07
8	7.31667e-07	6.672e-08	6.73e-07	8.25e-07
16	9.03e-07	1.33089e-07	7.91e-07	1.09e-06
32	1.204e-06	1.30662e-07	1.052e-06	1.371e-06
64	2.029e-06	3.34575e-07	1.7e-06	2.488e-06
128	5.07367e-06	5.07848e-07	4.438e-06	5.681e-06
256	1.1761e-05	9.22319e-07	1.0776e-05	1.2994e-05
512	2.99333e-05	2.085e-06	2.7798e-05	3.2762e-05
1024	6.66273e-05	2.53136e-06	6.4511e-05	7.0186e-05
2048	0.000142614	4.36347e-06	0.000139484	0.000148785
4096	0.00030655	5.18011e-06	0.000299521	0.000311852
8192	0.000657696	8.17433e-06	0.000646212	0.000664584
16384	0.00140925	7.93316e-06	0.00139974	0.00141916
32768	0.00302639	8.23444e-06	0.00301554	0.00303549
65536	0.00645376	4.42364e-06	0.00644846	0.00645929
131072	0.0139575	1.21817e-05	0.0139486	0.0139747
262144	0.0302662	2.35381e-05	0.0302398	0.030297
524288	0.0654817	2.58906e-05	0.0654475	0.0655102
1048576	0.139545	0.000148943	0.139375	0.139738
2097152	0.300503	0.000504608	0.299893	0.301129
4194304	0.645224	0.000937494	0.644539	0.64655
8388608	1.44105	0.00072829	1.44009	1.44186
16777216	3.39462	0	3.39462	3.39462
