n	mean	stddev	min	max
2	7.46667e-07	1.40248e-07	6.46e-07	9.45e-07
4	5.49667e-07	2.49978e-08	5.31e-07	5.85e-07
8	7.77667e-07	2.49043e-08	7.47e-07	8.08e-07
16	1.12233e-06	1.17173e-07	1.01e-06	1.284e-06
32	1.653e-06	1.41657e-07	1.503e-06	1.843e-06
64	4.57733e-06	1.86609e-06	3.07e-06	7.207e-06
128	6.78367e-06	9.24572e-07	5.774e-06	8.008e-06
256	1.43787e-05	1.23004e-06	1.3106e-05	1.6042e-05
512	3.0641e-05	1.21209e-06	2.9764e-05	3.2355e-05
1024	6.46793e-05	1.5074e-06	6.2998e-05	6.6655e-05
2048	0.000139394	2.69766e-06	0.000137128	0.000143185
4096	0.000293529	4.20066e-06	0.000288703	0.000298942
8192	0.000622336	1.0534e-05	0.000607987	0.000632979
16384	0.00132164	7.57795e-06	0.00131447	0.00133212
32768	0.00281088	2.28964e-06	0.00280777	0.00281323
65536	0.00595202	2.6412e-05	0.00592603	0.00598825
131072	0.0126299	2.49731e-05	0.0125946	0.0126493
262144	0.026656	4.27216e-05	0.0265956	0.0266875
524288	0.0561609	2.28738e-05	0.0561363	0.0561914
1048576	0.118173	0.000104802	0.118044	0.1183
2097152	0.250308	0.00020294	0.250085	0.250576
4194304	0.520339	0.000271132	0.519994	0.520656
8388608	1.08511	0.000328999	1.0847	1.08551
16777216	2.2704	0	2.2704	2.2704
