n	mean	stddev	min	max
1024	6.79e-07	4.10203e-08	6.21e-07	7.09e-07
2048	1.07733e-06	3.91606e-08	1.022e-06	1.107e-06
4096	1.80633e-06	1.62138e-08	1.784e-06	1.822e-06
8192	3.445e-06	6.83569e-08	3.358e-06	3.525e-06
16384	6.49833e-06	2.00056e-08	6.474e-06	6.523e-06
32768	1.2725e-05	6.07124e-08	1.2645e-05	1.2792e-05
65536	2.5353e-05	7.71017e-08	2.5286e-05	2.5461e-05
131072	5.0052e-05	3.39706e-08	5.0006e-05	5.0087e-05
262144	9.96033e-05	5.02416e-08	9.9543e-05	9.9666e-05
524288	0.000202492	1.25181e-06	0.000201299	0.000204221
1048576	0.000411648	4.3459e-07	0.000411075	0.000412127
2097152	0.000816666	1.24533e-06	0.000815156	0.000818206
4194304	0.00182754	7.00792e-06	0.00181763	0.00183268
8388608	0.00383598	5.65821e-06	0.00383103	0.0038439
16777216	0.00779427	3.06383e-05	0.00775997	0.00783434
33554432	0.0152652	6.14843e-06	0.0152565	0.0152696
67108864	0.0304855	8.2167e-05	0.0304191	0.0306013
134217728	0.0609185	8.36879e-05	0.0608525	0.0610366
268435456	0.122255	0.00039302	0.121856	0.12279
536870912	0.247466	0.000320937	0.247024	0.247776
1073741824	0.518864	0.000771535	0.518247	0.519952
