n	mean	stddev	min	max
2	1.52467e-06	1.35301e-06	5.5e-07	3.438e-06
4	6.15667e-07	2.8004e-08	5.92e-07	6.55e-07
8	7.31333e-07	4.9277e-08	6.95e-07	8.01e-07
16	9.98333e-07	1.12606e-07	8.67e-07	1.142e-06
32	1.34667e-06	1.90719e-07	1.138e-06	1.599e-06
64	2.52367e-06	3.59658e-07	2.05e-06	2.921e-06
128	5.231e-06	5.68122e-07	4.603e-06	5.979e-06
256	1.2058e-05	4.53572e-07	1.1542e-05	1.2646e-05
512	2.80503e-05	5.53113e-07	2.7549e-05	2.8821e-05
1024	6.44007e-05	7.13022e-07	6.3507e-05	6.5252e-05
2048	0.000145227	2.00981e-06	0.000143742	0.000148068
4096	0.000325768	2.11613e-06	0.000322777	0.000327341
8192	0.000700953	3.04031e-06	0.000696934	0.000704286
16384	0.00155946	6.56121e-06	0.00155319	0.00156852
32768	0.00342307	5.01927e-06	0.00341682	0.00342911
65536	0.00741438	3.95384e-06	0.00740926	0.00741888
131072	0.0158108	1.86057e-05	0.0157848	0.0158274
262144	0.0340347	3.22896e-05	0.0339919	0.0340699
524288	0.0727935	2.02101e-05	0.072779	0.0728221
1048576	0.155072	0.000102833	0.154938	0.155188
2097152	0.326483	0.000314942	0.32623	0.326927
4194304	0.693114	0.000817574	0.692502	0.694269
8388608	1.47808	0.00499168	1.47223	1.48442
16777216	3.10451	0	3.10451	3.10451
