n	mean	stddev	min	max
2	0.0131833	6.43792e-06	0.013177	0.0131922
4	0.0132978	0.000177827	0.0131634	0.0135491
8	0.0131696	1.84546e-05	0.0131435	0.0131832
16	0.0131748	2.72138e-05	0.0131425	0.013209
32	0.0133957	0.000142615	0.0131953	0.0135159
64	0.0131815	9.07222e-06	0.0131688	0.0131894
128	0.0131988	1.16246e-05	0.0131848	0.0132133
256	0.0133215	2.7254e-06	0.0133177	0.0133237
512	0.0133005	9.84352e-06	0.0132914	0.0133142
1024	0.0135426	4.85111e-06	0.0135366	0.0135485
2048	0.0138763	1.05534e-05	0.0138659	0.0138908
4096	0.0146336	1.67658e-05	0.0146106	0.0146503
8192	0.0159474	0.000122421	0.0157745	0.0160424
16384	0.0186396	2.05596e-05	0.0186106	0.0186555
32768	0.0228215	4.15646e-05	0.0227862	0.0228798
65536	0.0283952	0.000119613	0.0282261	0.028485
131072	0.0368648	0.000423846	0.0362818	0.0372771
262144	0.0494995	0.000796664	0.0485164	0.0504677
524288	0.0649277	0.000179853	0.0647035	0.0651438
1048576	0.0749221	0.000105283	0.0748082	0.0750621
2097152	0.0763065	0.000100066	0.0761651	0.0763812
4194304	0.0763902	0.000626394	0.0757393	0.077236
